code,base_id,pair_id,exchange_id,reference_asset_id,source_no,ticker_no,name,description,refreshed_at,from_date,to_date
ASX_AP1,524,619,21,523,5,1029,"ASX SPI 200 Index Futures, Continuous Contract #1 (AP1) (Front Month)","Historical Futures Prices: ASX SPI 200 Index Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",7/16/2019 05:27,10/9/2013,7/16/2019
ASX_AP2,525,620,21,523,5,1030,"ASX SPI 200 Index Futures, Continuous Contract #2 (AP2)","Historical Futures Prices: ASX SPI 200 Index Futures, Continuous Contract #2. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",7/16/2019 05:27,10/9/2013,7/16/2019
ASX_BB1,526,621,21,523,5,1031,"NZ - 90 Day Bank Bill Futures, Continuous Contract #1 (BB1) (Front Month)","Historical Futures Prices: NZ - 90 Day Bank Bill Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",7/16/2019 05:27,10/9/2013,7/16/2019
ASX_BB2,527,622,21,523,5,1032,"NZ - 90 Day Bank Bill Futures, Continuous Contract #2 (BB2)","Historical Futures Prices: NZ - 90 Day Bank Bill Futures, Continuous Contract #2. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",7/16/2019 05:27,10/9/2013,7/16/2019
ASX_IB1,528,623,21,523,5,1033,"30 Day Interbank Cash Rate Futures, Continuous Contract #1 (IB1) (Front Month)","Historical Futures Prices: 30 Day Interbank Cash Rate Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",7/16/2019 05:27,10/9/2013,7/16/2019
ASX_IB2,529,624,21,523,5,1034,"30 Day Interbank Cash Rate Futures, Continuous Contract #2 (IB2)","Historical Futures Prices: 30 Day Interbank Cash Rate Futures, Continuous Contract #2. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",7/16/2019 05:27,10/9/2013,7/16/2019
ASX_IR1,530,625,21,523,5,1035,"90 Day Bank Accepted Bills Futures, Continuous Contract #1 (IR1) (Front Month)","Historical Futures Prices: 90 Day Bank Accepted Bills Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",7/16/2019 05:27,10/9/2013,7/16/2019
ASX_IR2,531,626,21,523,5,1036,"90 Day Bank Accepted Bills Futures, Continuous Contract #2 (IR2)","Historical Futures Prices: 90 Day Bank Accepted Bills Futures, Continuous Contract #2. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",7/16/2019 05:27,10/9/2013,7/16/2019
ASX_TN1,532,627,21,523,5,1037,"NZ - 10 Year Government Stock Futures, Continuous Contract #1 (TN1) (Front Month)","Historical Futures Prices: NZ - 10 Year Government Stock Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",7/16/2019 05:27,10/9/2013,7/16/2019
ASX_TN2,533,628,21,523,5,1038,"NZ - 10 Year Government Stock Futures, Continuous Contract #2 (TN2)","Historical Futures Prices: NZ - 10 Year Government Stock Futures, Continuous Contract #2. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",7/16/2019 05:27,10/9/2013,7/16/2019
ASX_TY1,534,629,21,523,5,1039,"NZ - 3 Year Government Stock Futures, Continuous Contract #1 (TY1) (Front Month)","Historical Futures Prices: NZ - 3 Year Government Stock Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",7/16/2019 05:27,10/9/2013,7/16/2019
ASX_TY2,535,630,21,523,5,1040,"NZ - 3 Year Government Stock Futures, Continuous Contract #2 (TY2)","Historical Futures Prices: NZ - 3 Year Government Stock Futures, Continuous Contract #2. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",7/16/2019 05:27,10/9/2013,7/16/2019
ASX_UB1,536,631,21,523,5,1041,"Eastern Australia Feed Barley Futures, Continuous Contract #1 (UB1) (Front Month)","Historical Futures Prices: Eastern Australia Feed Barley Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",7/16/2019 05:27,10/9/2013,7/16/2019
ASX_UB2,537,632,21,523,5,1042,"Eastern Australia Feed Barley Futures, Continuous Contract #2 (UB2)","Historical Futures Prices: Eastern Australia Feed Barley Futures, Continuous Contract #2. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",7/16/2019 05:27,10/9/2013,7/16/2019
ASX_UB3,538,633,21,523,5,1043,"Eastern Australia Feed Barley Futures, Continuous Contract #3 (UB3)","Historical Futures Prices: Eastern Australia Feed Barley Futures, Continuous Contract #3. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",7/16/2019 05:27,10/9/2013,7/16/2019
